model,acc,pg,degscore,sparsity,l1
FasterRCNN,0.999833345413208,0.414394199848175,0.3383562266826629,0.0946191474795341,0
FCOS,0.9983090162277222,0.1882982403039932,0.2050325274467468,0.1158339157700538,0
DETR,0.0049999998882412,0.0005177769926376,0.0,0.0,0
FasterRCNN,0.9978333115577698,0.3783223927021026,0.3568490743637085,0.0876882821321487,0.001
FCOS,0.9826475381851196,0.333103209733963,0.1881292313337326,0.0173698011785745,0.001
DETR,0.0049999998882412,0.0005177769926376,0.0,0.0,0.001
FasterRCNN,0.9856082201004028,0.5966517329216003,0.2649363875389099,0.0303481090813875,0.1
FCOS,0.9913908839225768,0.0005177769926376,0.0314441733062267,0.0025536883622407,0.1
DETR,0.0049999998882412,0.0005177769926376,0.0,0.0,0.1
FasterRCNN,0.9340415000915528,0.7547463178634644,0.4532634615898132,0.0084204627200961,1
FCOS,0.0049999998882412,0.0005177769926376,0.0,2.63039948789985e-38,1
DETR,0.0049999998882412,0.0005177769926376,0.0,0.0,1
FasterRCNN,0.0049999998882412,0.0333103202283382,0.0,1.2999396642061618e-15,10
FCOS,0.0049999998882412,0.0005177769926376,0.0,0.0,10
DETR,0.0049999998882412,0.0005177769926376,0.0,0.0,10
